FileSequence,TomlSequence,RawShape,bHeadUp,Center2,IntegerCenter,CropStart,CropEndExclusive,SourceImage,DemoImage
1888,1887,29x29x237,False,87.5,88,73,113,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\defective_samples_by_board\VT-X750-1022_0000000044_20260106W_2552V612534501_20260106184823\drill_feature\drill-1888-3.0590_29_29_237-8-Cor199.60_231.41.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\forward_1888_29_29_237.png
0380,379,37x37x296,False,225.625,226,211,251,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\defective_samples_by_board\VT-X750-1022_0000000044_20260106W_2552V612534501_20260106184823\drill_feature\drill-0380-0.7660_37_37_296-5-Cor1115.12_666.52.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\forward_0380_37_37_296.png
0277,276,49x49x361,False,311.966,312,297,337,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\defective_samples_by_board\VT-X750-1077_0000000001_20260113FZ_2533V686021602_20260113045203\drill_feature\drill-0277-0.3090_49_49_361-11-Cor681.82_166.55.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\forward_0277_49_49_361.png
0024,23,29x29x237,True,182.194,182,157,197,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\normal_samples_by_board\VT-X750-1022_0000000044_20260106W_2552V612534501_20260106184823\drill_feature\drill-0024-3.9730_29_29_237-42--154-0.00-0.00.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\reverse_0024_29_29_237.png
0024,23,37x37x296,True,193.9,194,169,209,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\defective_samples_by_board\VT-X750-1131_0000000001_20250717WB_2518V668151403_20250717130704-NG\drill_feature\drill-0024-3.9730_37_37_296-66--188-0.00-0.00.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\reverse_0024_37_37_296.png
0005,4,49x49x361,True,251.286,251,226,266,F:\325_275_and_sphere_data\钻孔数据325_275\multiboard_binary_dataset_no_initial_board\defective_samples_by_board\VT-X750-1150_0000000068_20260114WB_2552V615144303_20260114221916\drill_feature\drill-0005-3.5160_49_49_361-97-Cor163.63_1103.48.jpg,C:\Users\lxj\.codex\visualizations\2026\06\18\019ed9d0-76c4-7101-aea4-c6e623860af5\head_crop_toml_demo\reverse_0005_49_49_361.png
